"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder_with_rape_or_gang_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping_and_abduction_of_women_total","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape","attempt_to_commit_rape","assault_on_women_with_intent_to_outrage_her_modesty","insult_to_the_modesty_of_women","dowry_prohibition","immoral_traffic_prevention_act_total","protection_of_women_from_domestic_violence_act","cyber_crimes_or_infor_tech_women_centric_crimes","prot_of_children_frm_sexual_viol_girl_child_victims","indecent_representation_of_women_prohibition","total_crime_against_women"
47,"2018-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,9.0,0.0,0.0,0.0,36.0,22.0,0.0,0.0,0.0,25.0,0.0,30.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,128.0
48,"2017-01-01","Himachal Pradesh","02","Solan","025","Solan",3.0,2.0,3.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,29.0,0.0,19.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,97.0
49,"2017-01-01","Himachal Pradesh","02","Chamba","016","Chamba",1.0,0.0,3.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,10.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0
50,"2017-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",16.0,27.0,20.0,0.0,0.0,0.0,59.0,120.0,0.0,0.0,0.0,56.0,0.0,202.0,6.0,17.0,0.0,4.0,0.0,43.0,0.0,570.0
51,"2017-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,16.0,0.0,2.0,0.0,31.0,40.0,0.0,0.0,0.0,37.0,6.0,80.0,18.0,1.0,4.0,0.0,4.0,0.0,0.0,239.0
52,"2017-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
53,"2017-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,19.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
54,"2017-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
55,"2017-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,1.0,13.0,0.0,0.0,0.0,44.0,41.0,0.0,0.0,0.0,38.0,0.0,64.0,15.0,0.0,0.0,0.0,5.0,1.0,1.0,223.0
56,"2017-01-01","Himachal Pradesh","02","Shimla","023","Shimla",1.0,0.0,2.0,2.0,0.0,0.0,15.0,36.0,0.0,0.0,0.0,29.0,1.0,48.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,137.0
57,"2017-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",2.0,0.0,2.0,0.0,0.0,0.0,20.0,26.0,0.0,0.0,0.0,26.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0
58,"2017-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,5.0,0.0,0.0,0.0,25.0,13.0,0.0,0.0,0.0,14.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
59,"2016-01-01","Himachal Pradesh","02","Solan","025","Solan","",0.0,3.0,0.0,0.0,0.0,15.0,22.0,0.0,"","",25.0,0.0,35.0,2.0,0.0,2.0,0.0,"",0.0,0.0,104.0
60,"2016-01-01","Himachal Pradesh","02","Chamba","016","Chamba","",0.0,8.0,0.0,0.0,0.0,8.0,13.0,0.0,"","",25.0,0.0,22.0,0.0,0.0,0.0,0.0,"",0.0,0.0,76.0
61,"2016-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur","",22.0,10.0,0.0,0.0,0.0,69.0,80.0,0.0,"","",50.0,0.0,128.0,4.0,39.0,0.0,3.0,"",0.0,2.0,407.0
62,"2016-01-01","Himachal Pradesh","02","Kangra","018","Kangra","",0.0,17.0,0.0,0.0,0.0,39.0,33.0,0.0,"","",41.0,2.0,65.0,18.0,1.0,1.0,7.0,"",0.0,0.0,224.0
63,"2016-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur","",0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,"","",8.0,1.0,3.0,0.0,0.0,0.0,0.0,"",0.0,0.0,18.0
64,"2016-01-01","Himachal Pradesh","02","Kullu","020","Kullu","",0.0,8.0,0.0,0.0,0.0,15.0,14.0,0.0,"","",17.0,0.0,24.0,1.0,0.0,2.0,1.0,"",0.0,0.0,82.0
65,"2016-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","",1.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,1.0
66,"2016-01-01","Himachal Pradesh","02","Mandi","022","Mandi","",1.0,13.0,0.0,0.0,0.0,23.0,30.0,0.0,"","",30.0,0.0,91.0,16.0,0.0,0.0,0.0,"",0.0,0.0,204.0
67,"2016-01-01","Himachal Pradesh","02","Shimla","023","Shimla","",0.0,4.0,1.0,0.0,0.0,25.0,16.0,0.0,"","",28.0,0.0,44.0,2.0,0.0,1.0,0.0,"",0.0,0.0,121.0
68,"2016-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur","",0.0,3.0,0.0,0.0,0.0,21.0,24.0,0.0,"","",34.0,0.0,37.0,0.0,0.0,1.0,0.0,"",0.0,0.0,120.0
69,"2016-01-01","Himachal Pradesh","02","Una","026","Una","",0.0,2.0,0.0,0.0,0.0,31.0,17.0,0.0,"","",15.0,0.0,28.0,1.0,0.0,0.0,0.0,"",0.0,0.0,94.0
70,"2021-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"2021-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"2020-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,171.0
