"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","abetment_of_suicide_of_child","attempt_to_commit_murder","infanticide","foeticide","exposure_and_abandonment","simple_hurt","grievous_hurt","kidnapping_and_abduction_of_children","human_trafficking_children_only","selling_of_minors_for_prostitution","buying_of_minors_for_prostitution","rape","attempt_to_commit_rape","aslt_on_women","insult_to_the_modesty_of_women","other_ipc_crimes","pocso_act","juveniles_justice_care_and_protection_of_children","immoral_traffic_prevention","child_labour_prohibition_and_regulation","prohibition_of_child_marriage","transplantation_of_human_organs_act","cyber_crimes_or_information_technology","other_sll_crimes","total_ipc_and_sll_crimes"
41,"2018-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,2.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,81.0
42,"2018-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
43,"2018-01-01","Himachal Pradesh","02","Mandi","022","Mandi",1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,74.0,0.0,0.0,0.0,25.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,118.0
44,"2018-01-01","Himachal Pradesh","02","Shimla","023","Shimla",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,21.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
45,"2018-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,32.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,91.0
46,"2018-01-01","Himachal Pradesh","02","Solan","025","Solan",1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,22.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0
47,"2018-01-01","Himachal Pradesh","02","Una","026","Una",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
48,"2017-01-01","Himachal Pradesh","02","Solan","025","Solan",3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0
49,"2017-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
50,"2017-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,87.0,0.0,0.0,0.0,31.0,0.0,71.0,2.0,11.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0
51,"2017-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,27.0,2.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
52,"2017-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
53,"2017-01-01","Himachal Pradesh","02","Kullu","020","Kullu",1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
54,"2017-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
55,"2017-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,36.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
56,"2017-01-01","Himachal Pradesh","02","Shimla","023","Shimla",2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
57,"2017-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,58.0
58,"2017-01-01","Himachal Pradesh","02","Una","026","Una",1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0
59,"2016-01-01","Himachal Pradesh","02","Solan","025","Solan",0.0,0.0,0.0,0.0,0.0,1.0,"","",28.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",21.0,0.0,0.0,0.0,0.0,0.0,"","",51.0
60,"2016-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,"","",12.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",21.0,0.0,0.0,0.0,0.0,0.0,"","",33.0
61,"2016-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",4.0,0.0,0.0,0.0,0.0,0.0,"","",77.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",100.0,0.0,0.0,0.0,0.0,0.0,"","",206.0
62,"2016-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,0.0,0.0,1.0,"","",35.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",31.0,1.0,0.0,0.0,0.0,0.0,"","",70.0
63,"2016-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,"","",3.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",4.0,0.0,0.0,0.0,0.0,0.0,"","",7.0
64,"2016-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,0.0,0.0,0.0,1.0,"","",13.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",14.0,2.0,0.0,0.0,0.0,0.0,"","",30.0
65,"2016-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,1.0,"","",1.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",1.0,1.0,0.0,0.0,0.0,0.0,"","",4.0
66,"2016-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,0.0,0.0,0.0,0.0,1.0,"","",35.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",30.0,2.0,0.0,0.0,0.0,0.0,"","",70.0
67,"2016-01-01","Himachal Pradesh","02","Shimla","023","Shimla",2.0,0.0,0.0,0.0,0.0,2.0,"","",38.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",20.0,1.0,0.0,0.0,0.0,0.0,"","",64.0
68,"2016-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,0.0,0.0,0.0,0.0,"","",25.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",27.0,0.0,0.0,0.0,0.0,0.0,"","",57.0
69,"2016-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,0.0,0.0,0.0,1.0,"","",17.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",13.0,0.0,0.0,0.0,0.0,0.0,"","",31.0
70,"2021-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"2021-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"2020-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"2020-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"2019-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"2019-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"2018-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"2018-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,"2017-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"2017-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"2016-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0
81,"2016-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0
